category (for QOL sorting),"node_name (main name) (by conventions, pre/post tag categories are in uppercase)",children (tags that are further down the tree/graph),inheritable_pre (nodes that will be inherited by children),specific_pre (nodes that won't be inherited),inheritable_post  (nodes that will be inherited by children),specific_post (nodes that won't be inherited),"alternative_names (names that can trigger the tag, pre/post are checked, singular/plural are automatically created) =GPT(""Output only either the plural or singular non-capitalized form of the noun:""&B25)",keep_alternatives (default: 1),from_pre (used for tags in the *_pre and *_post sections),from_post (used for tags in the *_pre and *_post sections),"roadblock (is considered a higher priority than children, is activated by the children) (default: 0)",mandatory_branch (all intermediate nodes are required to activate the last child) (default: 0),"priority (the higher the priority, the closer to the node it is (only applied for pre/post tags), (min:0, max:100), (spread down)",verb,"relation to children, default: with"
----,ROOT,"body, makeup, clothes, accessories, liquid","SIZE, COLOR, LENGTH, BREADTH, without",,,,,,,,,,,,
BODY,body,"head, upper body, lower body","pierced, bound, covered, bare, SPECIES",,,,bodies,,,,,,,,
BODY,head,"hair, inner hair, face, horns",,,,,heads,,,,,,,,
BODY,hair,"sidelocks, side ponytail, ponytail, braid, side braid, bangs, twintails, bun, double bun",,,,between eyes,hairs,,,,,,,,
BODY,sidelocks,,"drill, low-tied, asymmetrical, blunt, curly, wavy, ring",,,,,,,,,,,,
BODY,bangs,,"blunt, parted, swept, crossed, asymmetrical, double-parted, braided, diagonal, center-flap, dyed, arched, choppy, cut, wispy, fanged, sideless",,,,,,,,,,,,
BODY,horns,,,,,,horn,,,,,,,,
BODY,face,"ears, forehead, eyebrows, eyelashes, eyes, nose, cheeks, mouth",,,,,faces,,,,,,,,
BODY,eyebrows,,,,,visible through hair,eyebrow,,,,,,,,
BODY,ears,,,"pointy, fluffy, fake",,,ear,,,,1,,,,
BODY,cheeks,,,,,,cheek,,,,,,,,
BODY,eyes,"pupils, sclera",,"closed, open, rolling",,,eye,,,,,,,,
BODY,nose,snout,,,,,noses,,,,,,,,
BODY,mouth,"lips, teeth, tongue, uvula, smile",,"open, closed, wavy",,,mouths,,,,,,,,
BODY,tongue,,,,,out,tongues,,,,,,,,
BODY,teeth,fangs,,,,,tooth,,,,,,,,
BODY,fangs,,SKIN FANG,,,,fang,,,,,,,,
BODY,upper body,"neck, chest, shoulders, arms, armpits, torso, back",,,,,upper bodies,,,,,,,,
BODY,neck,nape,,,,,necks,,,,,,,,
BODY,chest,"collarbone, breasts, pectorals",,,,,chests,,,,,,,,
BODY,shoulders,,,,,,shoulder,,,,,,,,
BODY,breasts,"areola, nipples",,,,,breast,,,,,,,,
BODY,arms,"hands, wrists",,,,,arm,,,,,,,,
BODY,hands,"fingers, v",,,,,hand,,,,,,,,
BODY,v,w,double,,,,w,,,,,,,,
BODY,fingers,fingernails,,,,,finger,,,,,,,,
BODY,torso,stomach,,,,,torsos,,,,,,,,
BODY,stomach,"navel, abs, pregnant",,STOMACH MODIFIER,,,"stomachs, bellies, belly",,,,,,,,
